SrcAddr,DstAddr,Sport,Dport,SrcBytes,DstBytes,SrcLoad,DstLoad,SrcGap,DstGap,SIntPkt,DIntPkt,SIntPktAct,DIntPktAct,SrcJitter,DstJitter,sMaxPktSz,dMaxPktSz,sMinPktSz,dMinPktSz,Dur,Trans,TotPkts,TotBytes,Load,Loss,pLoss,pSrcLoss,pDstLoss,Rate,SrcMac,DstMac,Packet_num,Class
10.0.1.172,10.0.1.150,58059,1111,496.0,186.0,276914.0,92305.0,0.0,0.0,3.582333,1.9015,0.0,0.0,2.946239,1.6235,310,66,60,60,0.010747,1,7.0,682.0,369219.0,0,0.0,0.0,0.0,558.295,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,1,0
10.0.1.172,10.0.1.150,58062,1111,496.0,186.0,230984.0,76995.0,0.0,0.0,4.294667,2.9015,0.0,0.0,3.091654,2.8625,310,66,60,60,0.012884,1,7.0,682.0,307979.0,0,0.0,0.0,0.0,465.694,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,2,0
10.0.1.172,10.0.1.150,58065,1111,496.0,186.0,218470.0,72823.0,0.0,0.0,4.540667,3.2945,0.0,0.0,2.849841,3.1655,310,66,60,60,0.013622,1,7.0,682.0,291293.0,0,0.0,0.0,0.0,440.464,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,3,0
10.0.1.172,10.0.1.150,58067,1111,496.0,186.0,203376.0,67792.0,0.0,0.0,4.877667,3.332,0.0,0.0,2.452252,3.257,310,66,60,60,0.014633,1,7.0,682.0,271168.0,0,0.0,0.0,0.0,410.032,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,4,0
10.0.1.172,10.0.1.150,58069,1111,496.0,186.0,235723.0,78574.0,0.0,0.0,4.2083330000000005,2.8635,0.0,0.0,3.021835,2.8225,310,66,60,60,0.012625,1,7.0,682.0,314297.0,0,0.0,0.0,0.0,475.247,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,5,0
10.0.1.172,10.0.1.150,58074,1111,496.0,186.0,191284.0,63761.0,0.0,0.0,5.186,3.803,0.0,0.0,3.666978,3.797,310,66,60,60,0.015558,1,7.0,682.0,255046.0,0,0.0,0.0,0.0,385.654,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,6,0
10.0.1.172,10.0.1.150,58076,1111,496.0,186.0,217958.0,72653.0,0.0,0.0,4.5513330000000005,2.841,0.0,0.0,3.360778,2.822,310,66,60,60,0.013654,1,7.0,682.0,290611.0,0,0.0,0.0,0.0,439.432,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,7,0
10.0.1.172,10.0.1.150,58078,1111,496.0,186.0,244536.0,81512.0,0.0,0.0,4.056667,2.139,0.0,0.0,3.272284,2.018,310,66,60,60,0.01217,1,7.0,682.0,326048.0,0,0.0,0.0,0.0,493.016,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,8,0
10.0.1.172,10.0.1.150,58081,1111,496.0,186.0,203989.0,67996.0,0.0,0.0,4.863,4.17,0.0,0.0,1.137211,4.066,310,66,60,60,0.0145889999999999,1,7.0,682.0,271986.0,0,0.0,0.0,0.0,411.269,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,9,0
10.0.1.172,10.0.1.150,58084,1111,496.0,186.0,235518.0,78506.0,0.0,0.0,4.212,2.319,0.0,0.0,3.300342,2.275,310,66,60,60,0.012636,1,7.0,682.0,314023.0,0,0.0,0.0,0.0,474.834,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,10,0
10.0.1.172,10.0.1.150,58086,1111,496.0,186.0,283402.0,94467.0,0.0,0.0,3.5003330000000004,2.8505,0.0,0.0,2.491458,2.8065,310,66,60,60,0.010501,1,7.0,682.0,377869.0,0,0.0,0.0,0.0,571.374,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,11,0
10.0.1.172,10.0.1.150,58087,1111,496.0,186.0,141103.0,47034.0,0.0,0.0,7.030333000000001,2.7055,0.0,0.0,6.544402,2.6715,310,66,60,60,0.021091,1,7.0,682.0,188137.0,0,0.0,0.0,0.0,284.482,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,12,0
10.0.1.172,10.0.1.150,58089,1111,496.0,186.0,235723.0,78574.0,0.0,0.0,4.2083330000000005,2.8555,0.0,0.0,2.842504,2.8015,310,66,60,60,0.012625,1,7.0,682.0,314297.0,0,0.0,0.0,0.0,475.247,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,13,0
10.0.1.172,10.0.1.150,58094,1111,496.0,186.0,256817.0,85606.0,0.0,0.0,3.862667,2.834,0.0,0.0,2.734343,2.736,310,66,60,60,0.011588,1,7.0,682.0,342423.0,0,0.0,0.0,0.0,517.777,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,14,0
10.0.1.172,10.0.1.150,58095,1111,496.0,186.0,256618.0,85539.0,0.0,0.0,3.865667,2.859,0.0,0.0,2.606134,2.672,310,66,60,60,0.011597,1,7.0,682.0,342157.0,0,0.0,0.0,0.0,517.375,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,15,0
10.0.1.172,10.0.1.150,58097,1111,496.0,186.0,218422.0,72807.0,0.0,0.0,4.541667,3.318,0.0,0.0,2.194388,3.298,310,66,60,60,0.013625,1,7.0,682.0,291229.0,0,0.0,0.0,0.0,440.367,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,16,0
10.0.1.172,10.0.1.150,58103,1111,496.0,186.0,240679.0,80226.0,0.0,0.0,4.121667,2.345,0.0,0.0,3.183501,2.31,310,66,60,60,0.012365,1,7.0,682.0,320906.0,0,0.0,0.0,0.0,485.241,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,17,1
10.0.1.172,10.0.1.150,58105,1111,496.0,186.0,116327.0,38776.0,0.0,0.0,8.527667,7.741,0.0,0.0,2.643549,7.644,310,66,60,60,0.025583,1,7.0,682.0,155103.0,0,0.0,0.0,0.0,234.531,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,18,1
10.0.1.172,10.0.1.150,58107,1111,496.0,186.0,236434.0,78811.0,0.0,0.0,4.195667,2.3515,0.0,0.0,3.275936,2.3165,310,66,60,60,0.012587,1,7.0,682.0,315246.0,0,0.0,0.0,0.0,476.682,84:3a:4b:0f:5b:94,b8:ca:3a:cf:0b:87,19,1
